,Date (Year/Month), PRIMARY DESCRIPTION,LATITUDE,LONGITUDE
2472,2019-08,BATTERY,41.668346225,-87.634373759
2474,2019-08,ASSAULT,41.668370018000005,-87.63197252299999
2496,2019-08,BATTERY,41.668836605,-87.631081725
2502,2019-08,ROBBERY,41.668881821,-87.62637074
2538,2019-08,THEFT,41.669701303000004,-87.635625497
2540,2019-08,BURGLARY,41.669705721,-87.64043848799999
2542,2019-08,SEX OFFENSE,41.669715963,-87.63442482399999
2547,2019-08,ASSAULT,41.669727815,-87.636829386
2549,2019-08,WEAPONS VIOLATION,41.669741395,-87.640438105
2567,2019-08,CRIMINAL DAMAGE,41.669836662,-87.63803605
2568,2019-08,BATTERY,41.669836662,-87.63803605
2598,2019-08,MOTOR VEHICLE THEFT,41.669997636,-87.63924215799999
2608,2019-08,NARCOTICS,41.670028597,-87.641646526
2619,2019-08,BATTERY,41.670076271999996,-87.640449155
2620,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.670083502,-87.64164959899999
2626,2019-08,ROBBERY,41.670095481,-87.640448949
2627,2019-08,PUBLIC PEACE VIOLATION,41.670095481,-87.640448949
2637,2019-08,THEFT,41.670169724000004,-87.629632465
2639,2019-08,ASSAULT,41.670216832,-87.57532659399999
2642,2019-08,ASSAULT,41.670234415,-87.539318057
2660,2019-08,CRIMINAL DAMAGE,41.670290861999995,-87.658059443
2671,2019-08,NARCOTICS,41.670535505,-87.64197051299999
2683,2019-08,BURGLARY,41.670569664,-87.638533263
2686,2019-08,CRIMINAL DAMAGE,41.670569775,-87.638551563
2712,2019-08,ROBBERY,41.670633685,-87.632354229
2715,2019-08,BATTERY,41.670633685,-87.632354229
2744,2019-08,OTHER OFFENSE,41.671275391,-87.65143518
2751,2019-08,BATTERY,41.671313831,-87.651438435
2762,2019-08,ASSAULT,41.67136538,-87.64169443899999
2768,2019-08,ASSAULT,41.671384589,-87.641694233
2771,2019-08,THEFT,41.671401054,-87.64169405700001
2782,2019-08,MOTOR VEHICLE THEFT,41.671425104,-87.635683747
2804,2019-08,CRIMINAL DAMAGE,41.671484535,-87.629676709
2874,2019-08,THEFT,41.671665886999996,-87.653887065
2882,2019-08,OTHER OFFENSE,41.671673989,-87.633287278
2913,2019-08,ASSAULT,41.671712429,-87.63329052200001
2920,2019-08,OFFENSE INVOLVING CHILDREN,41.671723515,-87.65388645899999
2927,2019-08,BURGLARY,41.671755385,-87.630885292
2944,2019-08,PUBLIC PEACE VIOLATION,41.67179555,-87.63930336799999
2950,2019-08,BATTERY,41.671833774,-87.624878011
2955,2019-08,WEAPONS VIOLATION,41.671848709,-87.63088793700001
2960,2019-08,WEAPONS VIOLATION,41.671860607,-87.63690156
2986,2019-08,BATTERY,41.671965859000004,-87.63570353
2988,2019-08,THEFT,41.67197029,-87.620326846
